title,releaseDate,genre,language
Peace Officer,2015-09-16,"Documentary, Crime, Drama",English
Section 375,2019-09-13,"Crime, Drama",Hindi
Slash/Back,2022-10-21,"Horror, Sci-fi, Action, Mystery & thriller",English
The Unicorn,2019-02-01,Comedy,English
Searching,2018-08-31,Mystery & thriller,English
Framing John DeLorean,2019-06-07,Documentary,English
Asperger's Are Us,2016-11-11,"Documentary, Comedy, Drama",English
The Keeper,2020-10-02,"Biography, Drama, Romance",English (United Kingdom)
Spa Night,2016-08-19,"Drama, Lgbtq+",Korean
High Life,2019-04-05,"Sci-fi, Mystery & thriller, Adventure",English
Tar,2020-10-02,"Horror, Mystery & thriller",English
Redoubt,2019-10-30,Drama,English
Ascension,2021-10-08,Documentary,Chinese
Is That Black Enough for You?!?,2022-10-28,Documentary,English
EO,2022-11-18,Drama,Polish
The Armor of Light,2015-10-30,Documentary,English
The Insult,2018-01-12,Drama,Arabic
Marjorie Prime,2017-08-18,"Comedy, Drama, Sci-fi",English
American Sniper,2015-01-16,"War, Biography, Drama",English
Chasing the Win,2018-08-31,Documentary,English
A Beautiful Planet,2016-04-29,Documentary,English
The Hidden Life of Trees,2021-07-16,Documentary,German
Return to Seoul,2022-12-02,Drama,English
The Measure of a Man,2016-04-15,Drama,French (France)
Aferim!,2016-01-22,"History, Drama, Western, Comedy",Romanian
Vikram Vedha,2022-09-30,"Action, Mystery & thriller",Hindi
Coming Home,2015-09-09,"Drama, Romance",Chinese
Nossa Chape,2018-06-01,Documentary,Portuguese (Brazil)
The Death of Dick Long,2019-09-27,"Comedy, Drama",English
Betrayed,2021-12-03,"History, Drama, War",Norwegian
Legion of Brothers,2017-05-19,Documentary,English
Bombshell,2019-12-20,Drama,English
When Hitler Stole Pink Rabbit,2021-05-21,"History, Drama",German
Await Further Instructions,2018-10-05,"Horror, Mystery & thriller",English (United Kingdom)
Gold Star,2017-11-10,Drama,English
Room,2016-01-22,Drama,English
Freaks,2019-09-13,"Sci-fi, Mystery & thriller",English
The Last King,2016-06-17,"Action, History, Drama",Norwegian
Queen of Paradis,2020-03-06,Documentary,English
¡Viva Maestro!,2022-04-08,"Documentary, Music, Biography",English
Jimmy Vestvood: Amerikan Hero,2016-05-13,Comedy,English
The Traitor,2020-01-31,"Crime, Drama, Biography",Italian
Language Lessons,2021-09-10,"Comedy, Drama",English
Sin,2021-02-19,"Biography, History, Drama",Italian
Sonchiraiya,2019-03-01,"Crime, Drama, Action",Hindi
Slow West,2015-05-15,"Western, Mystery & thriller",English
Captain Fantastic,2016-07-08,"Comedy, Drama",English
Be Here Now (The Andy Whitfield Story),2016-04-08,Documentary,English
The Protégé,2021-08-20,"Action, Mystery & thriller",English
Parasite,2019-11-01,"Comedy, Mystery & thriller, Drama",Korean
Mi America,2015-10-16,"Crime, Drama, Mystery & thriller",English
The Russian Five,2019-03-22,Documentary,English
Call Me by Your Name,2018-01-19,"Romance, Drama, Lgbtq+",English
The Bill Murray Stories: Life Lessons Learned From a Mythical Man,2018-09-28,Documentary,English
11:55,2017-06-09,"Crime, Drama",English
Under the Tree,2018-07-06,Comedy,Icelandic
The Midwife,2017-07-21,"Comedy, Drama",French (France)
Turn Every Page: The Adventures of Robert Caro and Robert Gottlieb,2022-12-30,"Documentary, Biography",English
The Last Duel,2021-10-15,"History, Drama",English
"Goodbye, Petrushka",2022-07-15,"Romance, Comedy",English
Ex Libris: The New York Public Library,2017-09-13,Documentary,English
The Stanford Prison Experiment,2015-07-17,"History, Drama",English
In This Corner of the World,2017-08-11,"History, Drama, War, Anime",Japanese
First Man,2018-10-12,"Biography, History, Drama, Adventure",English
Turn It Around: The Story of East Bay Punk,2017-05-31,"Documentary, Music",English
The Edge of Seventeen,2016-11-18,"Comedy, Drama",English
In the Intense Now,2018-01-31,Documentary,Portuguese (Brazil)
Prospect,2018-11-02,"Sci-fi, Adventure, Mystery & thriller",English
American Siege,2022-01-07,"Action, Mystery & thriller",English
A Quiet Place Part II,2021-05-28,"Horror, Mystery & thriller",English
Parallel,2020-12-11,"Drama, Mystery & thriller",English
The Price,2017-11-10,Drama,English
Beyond the Gates,2016-12-09,"Horror, Mystery & thriller",English
Official Competition,2022-06-17,"Comedy, Drama",Spanish (Spain)
Nightmare Alley,2021-12-17,"Mystery & thriller, Crime, Drama",English
Fast & Furious Presents: Hobbs & Shaw,2019-08-02,"Action, Adventure, Comedy",English
The Mermaid,2016-02-19,"Comedy, Fantasy",Chinese
Midnight Traveler,2019-09-18,"Documentary, War",Persian
Still Here,2020-08-28,"Mystery & thriller, Drama",English
Charli XCX: Alone Together,2022-01-28,"Documentary, Music",English
Our American Family,2022-09-02,Documentary,English
Save Yourselves!,2020-10-02,"Comedy, Sci-fi",English
Desert One,2020-08-21,Documentary,English
F9 The Fast Saga,2021-06-25,"Action, Adventure, Crime",English
Gilbert,2017-11-03,Documentary,English
Detective Knight: Rogue,2022-10-21,"Holiday, Action, Mystery & thriller",English
Haunt,2019-09-13,"Holiday, Horror, Mystery & thriller",English
Gemini Man,2019-10-11,"Action, Mystery & thriller, Sci-fi, Fantasy",English
Minding the Gap,2018-08-17,Documentary,English
The Barkley Marathons: The Race That Eats Its Young,2015-12-08,"Documentary, Adventure, History, Drama",English
Meadowland,2015-10-16,Drama,English
Gloria,2015-07-17,"Biography, Drama",Spanish
Combat Obscura,2019-03-15,Documentary,English
Tread,2020-02-28,Documentary,English
The Tribe,2015-06-19,"Crime, Drama",Ukrainian
No Stone Unturned,2017-11-10,Documentary,English
The Brooklyn Banker,2016-08-05,"Crime, Drama",English
Three Minutes - A Lengthening,2022-08-19,Documentary,English
Chavela,2017-10-04,"Documentary, Music",Spanish
Sing a Bit of Harmony,2022-01-23,"Drama, Anime",Japanese
Benjamin,2020-08-25,"Romance, Comedy, Lgbtq+",English (United Kingdom)
Novitiate,2017-10-27,Drama,English
The Biggest Little Farm,2019-05-10,Documentary,English
The Iron Orchard,2019-02-22,"History, Drama",English
Living in the Future's Past,2018-10-05,Documentary,English
Zola,2021-06-30,"Comedy, Mystery & thriller, Drama",English
Dina,2017-10-06,Documentary,English
Spider-Man: Into the Spider-Verse,2018-12-14,"Kids & family, Action, Adventure, Comedy, Fantasy, Animation",English
Ouija: Origin of Evil,2016-10-21,"Horror, Mystery & thriller",English
Touched With Fire,2016-02-12,"Drama, Romance",English
Copshop,2021-09-17,"Action, Mystery & thriller",English
The Fencer,2017-07-21,"History, Drama",Estonian
In from the Side,2023-01-20,"Drama, Lgbtq+, Sports, Romance",English (United Kingdom)
Little Fish,2021-02-05,"Romance, Drama, Sci-fi",English
Find Me,2019-05-31,Drama,English
7 Prisoners,2021-11-05,Drama,Portuguese (Brazil)
The Midnight Swim,2015-06-26,"Drama, Mystery & thriller",English
After We Collided,2020-10-23,"Romance, Drama",English
Tom & Jerry,2021-02-26,"Kids & family, Comedy",English
Blinded by the Light,2019-08-16,"Comedy, Drama, Music",English
"Paris, 13th District",2022-04-15,"Comedy, Drama, Romance",French (France)
Green Book,2018-11-21,"Comedy, Drama",English
Undine,2021-06-04,"Drama, Romance",German
Secret Superstar,2017-10-20,"Drama, Music",Hindi
Can You Ever Forgive Me?,2018-10-19,"Biography, Comedy, Drama, Lgbtq+",English
Infinite Football,2018-11-09,Documentary,Romany
The Card Counter,2021-09-10,"Mystery & thriller, Drama",English
My Father's Dragon,2022-11-04,"Kids & family, Adventure, Fantasy, Animation",English
The Martian,2015-10-02,"Sci-fi, Adventure, Drama",English
Fear and Loathing in Aspen,2021-07-23,Drama,English
The Unbearable Weight of Massive Talent,2022-04-22,"Comedy, Action",English
Esto no es Berlín,2019-08-23,Drama,Spanish
God Knows Where I Am,2017-03-31,Documentary,English
Spider-Man: Far From Home,2019-07-02,"Action, Adventure, Fantasy, Comedy",English
Pope Francis -- A Man of His Word,2018-05-18,Documentary,Italian
Ahead of the Curve,2021-05-28,"Documentary, Lgbtq+",English
Daddy Issues,2019-04-19,"Comedy, Drama, Lgbtq+",English
Room for Rent,2019-05-03,Mystery & thriller,English
Mondo Hollywoodland,2021-07-30,"Comedy, Fantasy, Sci-fi",English
Pretty Problems,2022-10-07,"Romance, Comedy, Drama",English
Crazy Rich Asians,2018-08-15,"Romance, Comedy",English
Birthright: A War Story,2017-07-14,Documentary,English
The Outside Story,2021-04-30,Drama,English
The Favourite,2018-12-14,"Comedy, Drama",English (United Kingdom)
Maudie,2017-06-16,"Biography, History, Drama, Romance",English
Dheepan,2016-05-06,Drama,Tamil
The Human Factor,2021-01-22,Documentary,English
Margrete: Queen of the North,2021-12-17,"History, Drama",Danish
From the Hood to the Holler,2022-09-16,Documentary,English
Delicious,2022-01-14,"Comedy, History, Drama",French (France)
Antarctica: Ice and Sky,2017-01-20,Documentary,French (France)
My Great Night,2016-04-15,Comedy,Spanish
Drunk Bus,2021-05-21,"Comedy, Drama",English
"All Light, Everywhere",2021-06-04,Documentary,English
Beach Rats,2017-08-25,"Drama, Lgbtq+",English
Angkor Awakens: A Portrait of Cambodia,2017-05-05,Documentary,English
The Peanut Butter Falcon,2019-08-23,"Comedy, Drama, Adventure",English
Pearl Jam: Let's Play Two,2017-09-29,"Documentary, Music",English
In the Shadow of Women,2016-01-15,Drama,French (Canada)
Slalom,2021-04-09,Drama,French (France)
La familia,2018-08-03,Drama,Spanish
Curvature,2018-02-23,"Sci-fi, Mystery & thriller",English
Peter Rabbit 2: The Runaway,2021-06-10,"Kids & family, Comedy, Fantasy, Adventure",English
Scream,2022-01-14,"Horror, Mystery & thriller",English
Hacksaw Ridge,2016-11-04,"War, History, Drama, Biography",English
Drunk Stoned Brilliant Dead: The Story of the National Lampoon,2015-09-25,Documentary,English
Gifted,2017-04-12,Drama,English
Vengeance Is Mine,2021-10-08,"Action, Mystery & thriller",English
Clifford the Big Red Dog,2021-11-10,"Kids & family, Comedy, Adventure",English
Welcome to Leith,2015-09-09,Documentary,English
The Vast of Night,2020-05-15,"Fantasy, Mystery & thriller",English
Long Strange Trip,2017-05-26,"Documentary, Music",English
Equity,2016-07-29,"Drama, Mystery & thriller",English
The Storyteller,2018-09-21,"Drama, Fantasy",English
Only in Theaters,2022-11-18,"Documentary, Biography, History",English
The King's Choice,2017-09-22,"War, History, Drama, Biography",Norwegian
Blind Ambition,2022-09-02,Documentary,English
Some Kind of Heaven,2021-01-15,Documentary,English
Fabian: Going to the Dogs,2022-02-11,"Drama, History",German
Five Fingers for Marseilles,2018-09-07,"Drama, Mystery & thriller, Western",English
Angel of Mine,2019-08-30,"Mystery & thriller, Drama",English
Good Fortune,2017-06-22,Documentary,English
My Hero Academia: World Heroes' Mission,2021-10-29,"Action, Adventure, Anime",Japanese
Wild Tales,2015-02-20,"Comedy, Drama",Spanish
Transformer,2018-10-12,Documentary,English
99 Homes,2015-10-09,Drama,English
Bridge of Spies,2015-10-16,"History, Drama, Mystery & thriller",English
Machines,2017-08-09,Documentary,Hindi
The Last Resort,2018-12-21,Documentary,English
Heart of Champions,2021-10-29,Drama,English
God of War,2017-06-02,"Action, Adventure, War, History, Drama",Chinese
"Scream, Queen! My Nightmare on Elm Street",2020-02-27,"Documentary, Lgbtq+",English
The Souvenir,2019-05-17,"Romance, Drama",English
A Brave Heart: The Lizzie Velasquez Story,2015-09-25,Documentary,English
Ms. Purple,2019-09-06,Drama,English
April and the Extraordinary World,2016-04-08,"Sci-fi, Adventure, Animation",French (Canada)
White God,2015-03-27,Drama,Hungarian
After Auschwitz,2018-04-20,Documentary,English
This Magnificent Cake!,2019-03-01,"Comedy, Drama, Animation",Dutch
Crawl,2019-07-12,"Horror, Mystery & thriller",English
Rocketry: The Nambi Effect,2022-07-01,"Drama, Biography",English
Take Me Somewhere Nice,2021-06-11,Drama,Bosnian
Live Cargo,2017-03-31,"Drama, Mystery & thriller",English
Kangaroo,2018-01-19,Documentary,English
Paddington,2015-01-16,"Kids & family, Comedy, Adventure",English
Janhit Mein Jaari,2022-06-10,Comedy,Hindi
Wexford Plaza,2017-10-27,Comedy,English
Mohawk,2018-03-02,"Action, History, Drama, Mystery & thriller, Horror",English
Cosmic Dawn,2022-02-11,"Mystery & thriller, Sci-fi",English
Coyote Lake,2019-08-02,Mystery & thriller,English
Wild Rose,2019-06-21,"Comedy, Drama, Music",English
Wild Men,2022-06-17,"Comedy, Mystery & thriller",Norwegian
Joker,2019-10-04,"Crime, Drama",English
Command and Control,2016-09-14,Documentary,English
Hell Hath No Fury,2021-11-05,"War, Action, Drama",English
The Wandering Soap Opera,2019-05-17,"Comedy, Drama",Spanish
Sonic the Hedgehog,2020-02-14,"Kids & family, Comedy, Adventure, Fantasy",English
Lonesome,2023-02-17,"Drama, Lgbtq+",English (Australia)
Labyrinth of Lies,2015-09-30,"History, Drama",German
The Wanton Contessa,2018-10-26,Drama,Italian
Bomb City,2018-02-09,"Crime, Drama, Mystery & thriller",English
Never Gonna Snow Again,2021-07-30,"Comedy, Drama",Polish
Spontaneous,2020-10-02,"Comedy, Horror, Romance",English
Love & Bananas: An Elephant Story,2018-04-27,Documentary,English
Come True,2021-03-12,"Sci-fi, Horror",English
Moonlight,2016-11-18,"Drama, Lgbtq+",English
Hidden Figures,2017-01-06,"History, Drama",English
I'll Find You,2022-02-25,"Romance, History, Drama",English
Widows,2018-11-16,"Mystery & thriller, Crime, Drama",English
The True Cost,2015-05-29,"Documentary, Drama",English
Blacklight,2022-02-11,"Action, Mystery & thriller",English
Shaft,2019-06-14,"Action, Comedy",English
Abacus: Small Enough to Jail,2017-05-19,Documentary,English
The Cat and the Moon,2019-10-25,Drama,English
Dalida,2017-09-01,"Biography, History, Drama, Music",French (France)
Mad Max: Fury Road,2015-05-15,"Action, Adventure",English
Creed II,2018-11-21,Drama,English
Never Grow Old,2019-03-15,"Western, Action, Mystery & thriller",English
1985,2018-10-26,"Drama, Lgbtq+",English
In Her Name,2016-12-02,Drama,French (France)
Weiner,2016-05-20,Documentary,English
The Spy Gone North,2018-08-10,Drama,Korean
The Bleeder,2017-05-05,"Biography, History, Drama",English
Unlovable,2018-11-01,"Comedy, Drama",English
1982,2022-06-10,"History, Drama, War",Arabic
The Third Murder,2018-07-20,"Crime, Drama, Mystery & thriller",Japanese
Anthropocene: The Human Epoch,2019-09-25,Documentary,English
Blade of the Immortal,2017-11-03,"Action, Adventure, Fantasy",Japanese
Cuties,2020-09-09,"Comedy, Drama",French (France)
The Outfit,2022-03-18,"Mystery & thriller, Crime, Drama",English
A Hidden Life,2019-12-13,"History, Drama, Biography",English
13 Hours: The Secret Soldiers of Benghazi,2016-01-15,"War, Mystery & thriller, Drama",English
The Meddler,2016-05-20,"Comedy, Drama",English
Makala,2018-08-24,Documentary,Swahili
Wildhood,2022-06-17,"Drama, Lgbtq+",English
Icaros: A Vision,2017-05-19,Drama,English
Seed: The Untold Story,2016-09-23,Documentary,English
Uncertain,2017-03-09,"Documentary, Comedy, Drama",English
Back to the Drive-In,2022-08-12,Documentary,English
Downfall: The Case Against Boeing,2022-02-18,Documentary,English
Marcel the Shell with Shoes On,2022-07-22,"Kids & family, Comedy, Animation",English
Big Sonia,2017-11-17,Documentary,English
Girl Picture,2022-08-12,"Drama, Romance",Finnish
Ant-Man and The Wasp,2018-07-06,"Action, Adventure, Fantasy, Comedy",English
Sinphony: A Clubhouse Horror Anthology,2022-10-21,Horror,English
One Child Nation,2019-08-09,Documentary,English
Burning Cane,2019-10-25,Drama,English
Spring Blossom,2021-05-21,"Comedy, Drama, Romance",French (France)
Best and Most Beautiful Things,2016-12-02,Documentary,English
We Are X,2016-10-21,"Documentary, Music",English
"Cyrano, My Love",2019-10-18,"Comedy, Drama",French (France)
Top Spin,2015-08-21,Documentary,English
Demigod,2021-10-15,"Horror, Mystery & thriller",English
Call Me Lucky,2015-08-07,Documentary,English
Nadigaiyar Thilagam (Tamil),2018-05-08,"Biography, History, Drama",Telugu
Who Invited Charlie?,2023-02-03,Comedy,English
Pain and Glory,2019-10-04,Drama,Spanish (Spain)
Ammonite,2020-11-13,"Romance, Drama, Lgbtq+",English
Viva,2016-04-29,"Drama, Lgbtq+",Spanish
Rocketman,2019-05-31,"Musical, Biography, Drama, Lgbtq+",English
Brooklyn,2015-11-25,"Romance, History, Drama",English (United Kingdom)
Get Me Roger Stone,2017-05-12,"Documentary, Biography",English
"Kumiko, the Treasure Hunter",2015-03-20,"Drama, Adventure",English
The Untamed,2017-07-21,Drama,Spanish
Dio: Dreamers Never Die,2022-09-28,"Documentary, Music, Biography",English
Dramarama,2021-08-13,"Comedy, Drama, Lgbtq+",English
Shepherd: The Story of a Jewish Dog,2021-05-28,"History, Drama",English
Uunchai,2022-11-11,"Comedy, Drama",Hindi
'96,2018-10-03,Romance,Tamil
Xenia,2015-10-09,"Drama, Lgbtq+",Greek
Come as You Are,2020-02-14,"Comedy, Drama",English
The Wolf of Snow Hollow,2020-10-09,"Horror, Mystery & thriller",English
The Call of the Wild,2020-02-21,"Adventure, Drama",English
Coco,2017-11-22,"Kids & family, Comedy, Adventure, Music, Animation",English
Whitney Houston: I Wanna Dance with Somebody,2022-12-23,"Biography, Drama, Music",English
American Animals,2018-06-01,"Crime, Drama, Mystery & thriller",English
Moonage Daydream,2022-09-23,"Documentary, Music",English
Shelley,2016-07-29,"Horror, Mystery & thriller",Danish
A Very Sordid Wedding,2017-03-10,"Comedy, Lgbtq+",English
On-Gaku: Our Sound,2020-12-11,"Comedy, Music, Anime, Animation",Japanese
El Planeta,2021-09-24,"Comedy, Drama",Spanish (Spain)
My Mother,2016-08-26,"Comedy, Drama",Italian
Emelie,2016-03-04,Mystery & thriller,English
Never Rarely Sometimes Always,2020-03-13,Drama,English
Piggy,2022-10-07,"Horror, Mystery & thriller, Drama",Spanish (Spain)
Deep in the Heart: A Texas Wildlife Story,2022-06-03,Documentary,English
Shin Ultraman,2023-01-11,"Sci-fi, Action, Drama",Japanese
RK/RKAY,2021-05-14,"Comedy, Drama",Hindi
Candyman,2021-08-27,"Horror, Mystery & thriller",English
Brainwashed: Sex-Camera-Power,2022-10-21,Documentary,English
Making Waves: The Art of Cinematic Sound,2019-10-25,Documentary,English
Cliff Walkers,2021-04-30,"Mystery & thriller, Crime, Drama",Chinese
Daniel Isn't Real,2019-12-06,"Horror, Mystery & thriller",English
EVANGELION:3.0+1.01 Thrice Upon a Time,2022-11-30,"Sci-fi, Action, Anime, Drama",Japanese
Potato Dreams of America,2022-01-14,"Comedy, Lgbtq+, Biography",English
Blink of an Eye,2019-09-06,Documentary,English
Transit,2019-03-01,"History, Drama",German
Red Army,2015-01-23,Documentary,English
Daisy Winters,2017-12-01,Drama,English
The Assistant,2020-01-31,Drama,English
"Three Billboards Outside Ebbing, Missouri",2017-11-22,"Crime, Drama, Comedy",English
M3GAN,2023-01-06,"Horror, Mystery & thriller, Sci-fi, Comedy",English
For Here or to Go?,2017-03-31,"Comedy, Drama",English
Black Panther: Wakanda Forever,2022-11-11,"Action, Adventure, Fantasy",English
In the Last Days of the City,2018-04-27,Drama,Arabic
I'll See You in My Dreams,2015-05-15,"Romance, Comedy, Drama",English
Nightride,2022-03-04,"Mystery & thriller, Crime, Drama, Action",English
The Big Sick,2017-07-14,"Romance, Comedy",English
Filmworker,2018-05-11,Documentary,English
Kate Plays Christine,2016-08-24,Documentary,English
About Endlessness,2021-04-30,Drama,Swedish
Me and Earl and the Dying Girl,2015-07-03,"Comedy, Drama",English
Moonlight Sonata: Deafness in Three Movements,2019-09-13,Documentary,English
My Hero Academia: Heroes Rising,2020-02-26,"Action, Adventure, Anime",Japanese
The Velvet Underground,2021-10-15,"Documentary, Music",English
Science Fair,2018-09-14,Documentary,English
Arabian Nights: Volume 2 -- The Desolate One,2015-12-11,Drama,Portuguese (Brazil)
Emanuel,2019-06-17,Documentary,English
Port Authority,2021-05-28,Drama,English
Colossal,2017-04-07,"Comedy, Fantasy",English
Mobile Suit Gundam: Cucuruz Doan's Island,2022-09-27,"Sci-fi, Anime",Japanese
Free Trip to Egypt,2019-05-31,Documentary,English
Barbarian,2022-09-09,"Horror, Mystery & thriller",English
Hockeyland,2022-09-09,Documentary,English
Residue,2020-09-17,Drama,English
Lovesong,2017-02-17,"Drama, Lgbtq+",English
I Was a Simple Man,2021-11-19,Drama,English
Plane,2023-01-13,"Action, Adventure, Mystery & thriller",English
"Hallelujah: Leonard Cohen, a Journey, a Song",2022-07-01,"Documentary, Music",English
Tangerine,2015-07-10,"Comedy, Drama",English
My Little Sister,2021-01-15,Drama,German
MAFIA INC,2021-02-19,"Crime, Drama",French (Canada)
The Childhood of a Leader,2016-07-22,"Mystery & thriller, History, Drama",English
Hard Labor,2015-10-30,"Horror, Mystery & thriller, Drama",Portuguese (Brazil)
Knives Out,2019-11-27,"Mystery & thriller, Comedy, Drama",English
Art Bastard,2016-06-03,Documentary,English
Claire's Camera,2018-03-09,"Comedy, Drama",English
Pop Aye,2017-06-28,"Comedy, Drama",Thai
Turbo Kid,2015-08-28,"Action, Adventure, Sci-fi, Comedy",English
The Whistlers,2020-02-28,"Comedy, Drama, Mystery & thriller",Romanian
Running Shaadi,2017-02-17,"Romance, Comedy",Hindi
Most Beautiful Island,2017-11-02,"Mystery & thriller, Drama",English
The LEGO Batman Movie,2017-02-10,"Kids & family, Comedy, Adventure, Action, Animation",English
The Dig,2021-01-15,Drama,English (United Kingdom)
"Accidental Courtesy: Daryl Davis, Race & America",2016-12-09,Documentary,English
The Legend of 420,2017-10-06,Documentary,English
Chicken People,2016-09-23,"Documentary, Comedy",English
To Leslie,2022-10-07,Drama,English
Try Harder!,2021-12-03,Documentary,English
Teen Titans GO! to the Movies,2018-07-27,"Kids & family, Comedy, Adventure, Action, Animation",English
Fastball,2016-03-25,Documentary,English
The Raft,2019-06-07,Documentary,English
In Fabric,2019-12-06,"Horror, Comedy",English (United Kingdom)
Killing Them Safely,2015-11-27,"Documentary, Drama",English
Mission Mangal,2019-08-15,Drama,Hindi
The Trip to Greece,2020-05-22,"Comedy, Drama",English
Testament of Youth,2015-06-05,"Biography, History, Drama, War",English
Transpecos,2016-09-09,Mystery & thriller,English
Unsilenced,2022-01-21,Drama,English
Supernova,2021-01-29,"Drama, Romance, Lgbtq+",English
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,2017-04-14,"Comedy, Drama, Mystery & thriller",English
An L.A. Minute,2018-08-24,Comedy,English
Full River Red,2023-03-17,"Action, Comedy",Chinese
Mountain,2018-05-11,Documentary,English (Australia)
Uncle Peckerhead,2020-08-07,"Horror, Comedy",English
Ellie and Abbie (and Ellie's Dead Aunt),2021-08-27,"Comedy, Lgbtq+, Romance",English (Australia)
Whirlybird,2021-08-06,Documentary,English
East of the Mountains,2021-09-24,"Drama, Adventure",English
"Love, Cecil",2018-06-29,Documentary,English
Kingdom,2019-08-16,"Action, Adventure, War",Japanese
"A Woman, a Part",2017-03-22,Drama,English
Men & Chicken,2016-04-22,"Comedy, Drama",Danish
Larger Than Life: The Kevyn Aucoin Story,2018-07-20,"Documentary, Biography",English
Louis Armstrong's Black & Blues,2022-10-28,"Documentary, Music, Biography",English
Ask for Jane,2019-05-17,"History, Drama",English
Premature,2020-02-21,"Drama, Romance",English
Big Time Adolescence,2020-03-13,Comedy,English
Leave No Trace,2018-06-29,Drama,English
Crocodile Gennadiy,2016-05-20,Documentary,English
Chimera Strain,2019-03-15,"Sci-fi, Mystery & thriller",English
The Times of Bill Cunningham,2020-02-14,Documentary,English
Dancing Arabs,2015-06-26,Drama,Arabic
Ad Astra,2019-09-20,"Sci-fi, Adventure, Mystery & thriller",English
Upgrade,2018-06-01,"Sci-fi, Action, Horror",English
Thoroughbreds,2018-03-09,"Comedy, Mystery & thriller",English
The Sunshine Makers,2017-01-20,Documentary,English (United Kingdom)
At War,2019-07-19,Drama,French (France)
Val,2021-10-01,"Horror, Comedy",English
All That Breathes,2022-10-21,Documentary,Hindi
The Kid Detective,2020-10-16,Comedy,English
Their Finest,2017-04-07,"Romance, Comedy, History, Drama",English
Daughters of the Sexual Revolution: The Untold Story of the Dallas Cowboys Cheerleaders,2018-11-02,Documentary,English
The Donut King,2020-10-30,Documentary,English
Sword Art Online the Movie -Progressive- Aria of a Starless Night,2021-12-03,"Action, Adventure, Anime",Japanese
Saint Omer,2023-01-13,Drama,French (France)
Alleluia! The Devil's Carnival,2015-08-11,"Musical, Fantasy",English
Lamb,2016-01-08,Drama,English
The Man Standing Next,2020-01-31,Drama,Korean
American Made,2017-09-29,"Comedy, Drama, Adventure",English
It,2017-09-08,"Horror, Mystery & thriller",English
Ip Man 4: The Finale,2019-12-25,Action,Chinese
Door Mouse,2023-01-13,Drama,English
The Box,2022-11-04,Drama,Spanish
Huesera: The Bone Woman,2023-02-10,"Horror, Mystery & thriller",Spanish
All My Friends Hate Me,2022-03-11,"Comedy, Horror, Mystery & thriller",English
Manchester by the Sea,2016-12-16,Drama,English
VooDoo,2017-02-24,Horror,English
Oklahoma City,2017-02-03,Documentary,English
All Things Must Pass,2015-10-16,Documentary,English
Kailash,2018-11-02,Documentary,English
"J.R. ""Bob"" Dobbs & The Church of the SubGenius",2020-10-16,"Documentary, Comedy",English
Bar Bahar,2017-11-10,Drama,Hebrew
Standing Tall,2016-04-01,Drama,French (Canada)
President,2021-12-17,Documentary,English
Back Roads,2018-12-07,"Mystery & thriller, Drama",English
Marriage Story,2019-11-06,Drama,English
The Florida Project,2017-10-06,Drama,English
The Monkey King 2,2016-02-05,"Fantasy, Adventure, Action",Chinese
This Much I Know To Be True,2022-05-11,"Documentary, Music",English (United Kingdom)
The Nightingale,2019-08-02,"Mystery & thriller, Adventure, Drama",English
BuyBust,2018-08-10,"Action, Mystery & thriller",Filipino
Searching for Ingmar Bergman,2018-11-02,Documentary,German
Los Reyes,2019-08-14,Documentary,Spanish
Torn,2021-12-03,"Documentary, Sports & fitness",English
Billy the Kid,2020-09-30,Documentary,English
Cyrano,2022-02-25,"Musical, Romance, Drama",English
Mission of Honor,2019-03-15,"War, History, Drama",English (United Kingdom)
Indignation,2016-07-29,Drama,English
The Mindfulness Movement,2020-04-10,Documentary,English
Repeat,2021-11-19,"Sci-fi, Mystery & thriller",English (United Kingdom)
All Quiet on the Western Front,2022-10-07,"War, History, Drama, Action",German
Blaze,2018-08-17,"Biography, Drama, Music",English
The Hole in the Ground,2019-03-01,"Horror, Mystery & thriller",English (United Kingdom)
Tango Shalom,2021-09-03,Comedy,English
Number 37,2018-11-02,Mystery & thriller,Afrikaans
Resurrection,2022-07-29,"Mystery & thriller, Drama",English
Fighting With My Family,2019-02-22,"Comedy, Drama, Biography",English
Furious 7,2015-04-03,"Action, Adventure, Mystery & thriller",English
Top Gun: Maverick,2022-05-27,"Action, Adventure",English
Guidance,2015-08-21,Comedy,English
The Mole Agent,2020-01-25,Documentary,Spanish
Rafiki,2019-04-19,"Drama, Romance, Lgbtq+",English
Newton,2017-09-22,"Comedy, Drama",Hindi
Amy,2015-07-03,"Documentary, Biography, Music",English
Tantura,2022-12-02,Documentary,Hebrew
Chhichhore,2019-09-06,Comedy,Hindi
Summertime,2016-07-22,"Romance, Drama, Lgbtq+",French (France)
Misbehaviour,2020-09-25,"Comedy, Drama",English (United Kingdom)
Sharkwater Extinction,2019-03-01,Documentary,English
Chasing the Blues,2018-10-05,Comedy,English
Sgt. Stubby: An American Hero,2018-04-13,"Kids & family, Adventure, War, Animation",English
The Force,2017-09-15,Documentary,English
Blood Father,2016-08-12,"Action, Mystery & thriller",English
Old Fashioned,2015-02-13,Romance,English
Night Raiders,2021-11-12,"Sci-fi, Mystery & thriller, Drama",English
Bacurau,2020-03-06,"Mystery & thriller, Drama, Fantasy",Portuguese (Brazil)
The Spine of Night,2021-10-29,"Fantasy, Horror, Animation",English
Roh,2021-10-29,"Drama, Horror",Malay
